medal_id;medal_type;medal_code;medal_date;name;gender;discipline;event;event_type;url_event;code;country_code;country;country_long
313;Bronze Medal;3.0;2024-08-02;KIM Hayun;W;Judo;Women +78 kg;HATH;/en/paris-2024/results/judo/women--plus-78-kg/repf000100--;1928070;KOR;Korea;Republic of Korea
314;Bronze Medal;3.0;2024-08-02;Romane DICKO;W;Judo;Women +78 kg;HATH;/en/paris-2024/results/judo/women--plus-78-kg/repf000200--;1891300;FRA;France;France
315;Gold Medal;1.0;2024-08-02;Ireland;M;Rowing;Lightweight Men's Double Sculls;TEAM;/en/paris-2024/results/rowing/lightweight-men-s-double-sculls/fnl---------;ROWMSCULL2-LIRL01;IRL;Ireland;Ireland
316;Silver Medal;2.0;2024-08-02;Italy;M;Rowing;Lightweight Men's Double Sculls;TEAM;/en/paris-2024/results/rowing/lightweight-men-s-double-sculls/fnl---------;ROWMSCULL2-LITA01;ITA;Italy;Italy
317;Bronze Medal;3.0;2024-08-02;Greece;M;Rowing;Lightweight Men's Double Sculls;TEAM;/en/paris-2024/results/rowing/lightweight-men-s-double-sculls/fnl---------;ROWMSCULL2-LGRE01;GRE;Greece;Greece
318;Gold Medal;1.0;2024-08-02;Great Britain;W;Rowing;Lightweight Women's Double Sculls;TEAM;/en/paris-2024/results/rowing/lightweight-women-s-double-sculls/fnl---------;ROWWSCULL2-LGBR01;GBR;Great Britain;Great Britain
319;Silver Medal;2.0;2024-08-02;Romania;W;Rowing;Lightweight Women's Double Sculls;TEAM;/en/paris-2024/results/rowing/lightweight-women-s-double-sculls/fnl---------;ROWWSCULL2-LROU01;ROU;Romania;Romania
320;Bronze Medal;3.0;2024-08-02;Greece;W;Rowing;Lightweight Women's Double Sculls;TEAM;/en/paris-2024/results/rowing/lightweight-women-s-double-sculls/fnl---------;ROWWSCULL2-LGRE01;GRE;Greece;Greece
321;Gold Medal;1.0;2024-08-02;Croatia;M;Rowing;Men's Pair;TEAM;/en/paris-2024/results/rowing/men-s-pair/fnl---------;ROWMNOCOX2--CRO01;CRO;Croatia;Croatia
322;Silver Medal;2.0;2024-08-02;Great Britain;M;Rowing;Men's Pair;TEAM;/en/paris-2024/results/rowing/men-s-pair/fnl---------;ROWMNOCOX2--GBR01;GBR;Great Britain;Great Britain
323;Bronze Medal;3.0;2024-08-02;Switzerland;M;Rowing;Men's Pair;TEAM;/en/paris-2024/results/rowing/men-s-pair/fnl---------;ROWMNOCOX2--SUI01;SUI;Switzerland;Switzerland
324;Gold Medal;1.0;2024-08-02;Netherlands;W;Rowing;Women's Pair;TEAM;/en/paris-2024/results/rowing/women-s-pair/fnl---------;ROWWNOCOX2--NED01;NED;Netherlands;Netherlands
325;Silver Medal;2.0;2024-08-02;Romania;W;Rowing;Women's Pair;TEAM;/en/paris-2024/results/rowing/women-s-pair/fnl---------;ROWWNOCOX2--ROU01;ROU;Romania;Romania
