"code";"current";"team";"team_gender";"country_code";"country";"country_long";"discipline";"disciplines_code";"events";"athletes";"coaches";"athletes_codes";"num_athletes";"coaches_codes";"num_coaches"
"ARCXTEAM2---FRA01";"True";"France";"X";"FRA";"France";"France";"Archery";"ARC";"Mixed Team";"\"['BARBELIN Lisa'";" 'ADDIS Baptiste']\"";"";"\"['1541265'";" '1541270']\"";"2.0"
"ARCXTEAM2---GBR01";"True";"Great Britain";"X";"GBR";"Great Britain";"Great Britain";"Archery";"ARC";"Mixed Team";"\"['PITMAN Bryony'";" 'WISE Alex']\"";"";"\"['1561000'";" '1561003']\"";"2.0"
"ARCXTEAM2---GER01";"True";"Germany";"X";"GER";"Germany";"Germany";"Archery";"ARC";"Mixed Team";"\"['KROPPEN Michelle'";" 'UNRUH Florian']\"";"";"\"['1553258'";" '1553249']\"";"2.0"
"ARCXTEAM2---INA01";"True";"Indonesia";"X";"INA";"Indonesia";"Indonesia";"Archery";"ARC";"Mixed Team";"\"['CHOIRUNISA Diananda'";" 'PANGESTU Arif']\"";"";"\"['1913983'";" '1913631']\"";"2.0"
"ARCXTEAM2---IND01";"True";"India";"X";"IND";"India";"India";"Archery";"ARC";"Mixed Team";"\"['BHAKAT Ankita'";" 'BOMMADEVARA Dhiraj']\"";"";"\"['1546200'";" '1546108']\"";"2.0"
"ARCXTEAM2---ISR01";"True";"Israel";"X";"ISR";"Israel";"Israel";"Archery";"ARC";"Mixed Team";"\"['MOSHE Mikaella'";" 'DROR Roy']\"";"";"\"['1937691'";" '1937678']\"";"2.0"
"ARCXTEAM2---ITA01";"True";"Italy";"X";"ITA";"Italy";"Italy";"Archery";"ARC";"Mixed Team";"\"['REBAGLIATI Chiara'";" 'NESPOLI Mauro']\"";"";"\"['1915461'";" '1915454']\"";"2.0"
"ARCXTEAM2---JPN01";"True";"Japan";"X";"JPN";"Japan";"Japan";"Archery";"ARC";"Mixed Team";"\"['NODA Satsuki'";" 'NAKANISHI Junya']\"";"";"\"['1890981'";" '1890985']\"";"2.0"
"ARCXTEAM2---KOR01";"True";"Republic of Korea";"X";"KOR";"Korea";"Republic of Korea";"Archery";"ARC";"Mixed Team";"\"['LIM Sihyeon'";" 'KIM Woojin']\"";"";"\"['1902147'";" '1902135']\"";"2.0"
"ARCXTEAM2---MDA01";"True";"Republic of Moldova";"X";"MDA";"Republic of Moldova";"Republic of Moldova";"Archery";"ARC";"Mixed Team";"\"['MIRCA Alexandra'";" 'OLARU Dan']\"";"";"\"['1898203'";" '1898162']\"";"2.0"
"ARCXTEAM2---MEX01";"True";"Mexico";"X";"MEX";"Mexico";"Mexico";"Archery";"ARC";"Mixed Team";"\"['VALENCIA Alejandra'";" 'GRANDE Matias']\"";"";"\"['1535420'";" '1535430']\"";"2.0"
"ARCXTEAM2---NED01";"True";"Netherlands";"X";"NED";"Netherlands";"Netherlands";"Archery";"ARC";"Mixed Team";"\"['SCHLOESSER Gaby'";" 'WIJLER Steve']\"";"";"\"['1973411'";" '1973414']\"";"2.0"
"ARCXTEAM2---SLO01";"True";"Slovenia";"X";"SLO";"Slovenia";"Slovenia";"Archery";"ARC";"Mixed Team";"\"['PINTARIC Zana'";" 'RAVNIKAR Ziga']\"";"";"\"['1981582'";" '1981585']\"";"2.0"
"ARCXTEAM2---TPE01";"True";"Chinese Taipei";"X";"TPE";"Chinese Taipei";"Chinese Taipei";"Archery";"ARC";"Mixed Team";"\"['LEI Chien-Ying'";" 'TAI Yu-Hsuan']\"";"";"\"['1564634'";" '1564630']\"";"2.0"
"ARCXTEAM2---TUR01";"True";"Türkiye";"X";"TUR";"Türkiye";"Türkiye";"Archery";"ARC";"Mixed Team";"\"['GOKKIR Elif Berra'";" 'GAZOZ Mete']\"";"";"\"['1565024'";" '1565000']\"";"2.0"
"ARCXTEAM2---UKR01";"True";"Ukraine";"X";"UKR";"Ukraine";"Ukraine";"Archery";"ARC";"Mixed Team";"\"['MARCHENKO Veronika'";" 'USACH Mykhailo']\"";"";"\"['1571753'";" '1571766']\"";"2.0"
"ARCXTEAM2---USA01";"True";"United States of America";"X";"USA";"United States";"United States of America";"Archery";"ARC";"Mixed Team";"\"['KAUFHOLD Casey'";" 'ELLISON Brady']\"";"";"\"['1955601'";" '1955595']\"";"2.0"
