start_date;end_date;day;status;discipline;discipline_code;event;event_medal;phase;gender;event_type;venue;venue_code;location_description;location_code;url
2024-08-08T17:13:00+02:00;2024-08-08T17:19:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Final;W;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-08T17:22:00+02:00;2024-08-08T17:28:00+02:00;2024-08-08;CANCELLED;Sailing;SAL;Women's Kite;0;Women's Kite Final;W;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-09T12:31:00+02:00;2024-08-09T12:37:00+02:00;2024-08-09;CANCELLED;Sailing;SAL;Men's Kite;0;Men's Kite Final;M;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-09T12:40:00+02:00;2024-08-09T12:46:00+02:00;2024-08-09;CANCELLED;Sailing;SAL;Men's Kite;0;Men's Kite Final;M;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-09T12:49:00+02:00;2024-08-09T12:55:00+02:00;2024-08-09;CANCELLED;Sailing;SAL;Men's Kite;0;Men's Kite Final;M;ATH;Marseille Marina;MAM;Marseille Marina - Marseille;SA1;
2024-08-09T15:52:00+02:00;2024-08-09T15:52:00+02:00;2024-08-09;CANCELLED;Cycling Track;CTR;Men's Sprint;0;Men's Sprint, Semifinals;M;ATH;National Velodrome;VE1;Saint-Quentin-en-Yvelines Velodrome;VE1;
2024-08-10T20:14:00+02:00;2024-08-10T20:14:00+02:00;2024-08-10;CANCELLED;Cycling Track;CTR;Women's Sprint;0;Women's Sprint, Quarterfinals;W;ATH;National Velodrome;VE1;Saint-Quentin-en-Yvelines Velodrome;VE1;
2024-08-11T13:44:00+02:00;2024-08-11T13:44:00+02:00;2024-08-11;CANCELLED;Cycling Track;CTR;Women's Sprint;0;Women's Sprint, Finals;W;ATH;National Velodrome;VE1;Saint-Quentin-en-Yvelines Velodrome;VE1;
2024-07-26T20:00:00+02:00;2024-07-26T23:30:00+02:00;2024-07-26;FINISHED;Opening Ceremony;CER;;0;;;;;;;;/en/paris-2024/the-games/ceremonies/opening-ceremony
2024-08-11T21:00:00+02:00;2024-08-11T23:30:00+02:00;2024-08-11;SCHEDULED;Closing Ceremony;CER;;0;;;;;;;;/en/news/jo-paris-2024-ceremonie-cloture-stade-de-france
